Analysis Id,Sample Id,Sample,Fixed,Lat,Long,Dist,Bearing,Direction,Collection,Source,Description,Weight,Depth,Surface_Area,Shape,Uncertainty,MDA,Method,Nuclide,Result,Result
197947,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,1.38E-06,2.34E-06,Gamma Spectroscopy,Ce-144,1.57E-07,2%
197949,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,4.68E-08,3.80E-08,GP Counting,Sr-Total,5.61E-07,6%
197951,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,2.82E-08,3.80E-08,GP Counting,Sr-89,6.42E-07,6%
197953,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,2.82E-08,3.80E-08,GP Counting,Sr-89,6.42E-07,6%
197955,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,7.94E-07,9.66E-07,Gamma Spectroscopy,Ba-140,3.63E-06,36%
197957,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,1.19E-06,1.24E-06,Gamma Spectroscopy,Cs-136,1.39E-05,139%
197959,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,8.00E-06,7.32E-06,Gamma Spectroscopy,I-131,8.72E-05,872%
197961,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,2.80E-05,3.75E-07,Gamma Spectroscopy,Cs-137,0.000463994,4640%
197963,9015,SCF-08776,FALSE,37.28636,140.241271,44.5427484,258.1233581,WSW,4/20/2011 14:00,DOE,Field Team: Loc 3 ;,,2,100,Square & Flat,1.22E-05,5.52E-07,Gamma Spectroscopy,Cs-134,0.00047654,4765%
197965,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,4.19E-06,6.08E-06,Gamma Spectroscopy,Te-129m,-2.02E-06,-20%
197967,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,2.87E-07,0,Gamma Spectroscopy,Mo-99,-1.15E-10,0%
197969,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,3.41E-05,0,Gamma Spectroscopy,I-132,7.14E-12,0%
197971,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,3.41E-05,0,Gamma Spectroscopy,Te-132,7.14E-12,0%
197973,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,3.22E-08,3.87E-08,GP Counting,Sr-90,3.55E-08,0%
197975,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,1.05E-06,1.78E-06,Gamma Spectroscopy,Ce-144,4.61E-08,0%
197977,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,3.22E-08,3.87E-08,GP Counting,Sr-89,2.48E-07,2%
197979,9011,SCF-08777,FALSE,37.288639,140.222573,45.51733381,258.5950154,WSW,4/20/2011 14:30,DOE,Field Team: Loc 4 ;,,2,100,Square & Flat,3.37E-08,3.87E-08,GP Counting,Sr-Total,2.49E-07,2%
